Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)
28	Spectrogram 1	1	57.449728796	57.625608132	571.5	2462.1	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	57.4497
29	Spectrogram 1	1	58.354251095	58.668321338	22.0	879.3	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	58.3543
30	Spectrogram 1	1	1216.909541867	1217.047732774	263.8	2813.8	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	16.9095
31	Spectrogram 1	1	1217.738687308	1217.864315405	307.8	2637.9	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	17.7387
32	Spectrogram 1	1	1216.758788151	1216.871853438	615.5	2154.3	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	16.7588
33	Spectrogram 1	1	1218.190948458	1218.329139364	175.9	923.3	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	18.1910
34	Spectrogram 1	1	1209.786428763	1209.937182479	131.9	945.3	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	9.7864
35	Spectrogram 1	1	1210.125624625	1210.263815532	197.8	945.3	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	10.1256
36	Spectrogram 1	1	1208.391956885	1208.517584982	153.9	1143.1	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	8.3920
37	Spectrogram 1	1	1209.949745289	1210.100499005	109.9	945.3	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	9.9497
38	Spectrogram 1	1	1211.846729555	1211.972357652	197.8	1055.2	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	11.8467
39	Spectrogram 1	1	1211.984920462	1212.148236988	197.8	1011.2	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	11.9849
40	Spectrogram 1	1	1200.515075198	1200.615577676	44.0	1121.1	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	0.5151
41	Spectrogram 1	1	1200.653266105	1200.778894202	44.0	1055.2	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	0.6533
42	Spectrogram 1	1	1200.854271060	1200.992461967	0.0	1099.1	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	0.8543
43	Spectrogram 1	1	1202.047737982	1202.211054509	175.9	2000.4	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	2.0477
44	Spectrogram 1	1	1204.597988353	1204.736179260	263.8	879.3	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	4.5980
