Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	BW 90% (Hz)
28	Spectrogram 1	1	1254.949729664	1255.439679243	241.809	2242.225	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	54.9497	914.062	281.250	2085.938	1804.688
29	Spectrogram 1	1	1255.452242052	1255.741186676	197.843	1406.886	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	55.4522	609.375	210.938	1312.500	1101.562
30	Spectrogram 1	1	1256.356764351	1256.658271784	43.965	967.234	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	56.3568	187.500	46.875	867.188	820.312
31	Spectrogram 1	1	1258.140683330	1258.881889103	373.704	1384.903	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	58.1407	656.250	398.438	1312.500	914.062
32	Spectrogram 1	1	1229.396974717	1229.937175535	329.739	835.339	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	29.3970	562.500	351.562	796.875	445.312
33	Spectrogram 1	1	1211.758789887	1212.160799798	219.826	1318.956	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	11.7588	632.812	257.812	1242.188	984.375
34	Spectrogram 1	1	2406.155776757	2406.633163526	87.930	857.321	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	6.1558	328.125	93.750	796.875	703.125
35	Spectrogram 1	1	2426.658282201	2427.110543350	175.861	1472.834	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	26.6583	609.375	210.938	1359.375	1148.438
36	Spectrogram 1	1	2427.952251601	2428.266321844	307.756	1077.147	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	27.9522	609.375	351.562	984.375	632.812
37	Spectrogram 1	1	2431.984913517	2432.487425906	307.756	1121.112	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	31.9849	609.375	351.562	1007.812	656.250
