Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	BW 90% (Hz)	Source	Shape	Pulses
36	Spectrogram 1	1	1227.952200000	1228.266270000	307.756	1077.147	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	27.9522	609.375	351.562	984.375	632.812	fish		2
37	Spectrogram 1	1	1231.984900000	1232.487412000	307.756	1121.112	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	31.9849	609.375	351.562	1007.812	656.250	fish		3
38	Spectrogram 1	1	1234.020100000	1234.547738000	307.756	1253.008	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	34.0201	632.812	375.000	1195.312	820.312	fish		3
39	Spectrogram 1	1	1235.917100000	1236.243733000	307.756	989.217	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	35.9171	585.938	351.562	937.500	585.938	fish		2
40	Spectrogram 1	1	1237.587900000	1237.914533000	241.809	1626.712	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	37.5879	679.688	281.250	1476.562	1195.312	fish		2
41	Spectrogram 1	1	1223.015100000	1223.379422000	153.878	1340.938	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	23.0151	585.938	187.500	1265.625	1078.125	fish		5
42	Spectrogram 1	1	1221.005000000	1221.532638000	219.826	835.339	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	21.0050	539.062	257.812	773.438	515.625	fish		many
43	Spectrogram 1	1	1225.238700000	1225.653272000	197.843	989.217	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	25.2387	562.500	234.375	937.500	703.125	fish		many
44	Spectrogram 1	1	1230.314100000	1230.804049000	307.756	1209.043	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	30.3141	632.812	375.000	1125.000	750.000	fish		3
45	Spectrogram 1	1	1229.221100000	1229.510045000	329.739	1428.869	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	29.2211	726.562	375.000	1359.375	984.375	fish		2
