,aci_value,date,location,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250520_074500.wav,50.75792413,20250520_074500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250520_080000.wav,61.87309961,20250520_080000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250520_081500.wav,56.28246714,20250520_081500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250520_083000.wav,53.68711336,20250520_083000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250520_084500.wav,55.56523899,20250520_084500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250520_090000.wav,53.44156895,20250520_090000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250520_091500.wav,59.75534878,20250520_091500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250520_093000.wav,64.3611739,20250520_093000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250520_094500.wav,69.91795744,20250520_094500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250520_100000.wav,65.65929227,20250520_100000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250520_101500.wav,59.04365702,20250520_101500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250520_103000.wav,57.57228616,20250520_103000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250520_104500.wav,64.10304175,20250520_104500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250520_110000.wav,54.32029532,20250520_110000,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250520_111500.wav,52.28583809,20250520_111500,LVR,
C..Users.hng9.Music.BDAKFP_2025_LVR.S1130_048K_LVR_10458035_20250520_113000.wav,53.7620639,20250520_113000,LVR,
