Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	BW 50% (Hz)	BW 90% (Hz)	Center Time Rel.	Time 5% Rel.	Time 25% Rel.	Time 75% Rel.	Time 95% Rel.	Dur 50% (s)	Dur 90% (s)	colour	source	type	site	pulse count
327	Spectrogram 1	1	2415.707900000	2416.917577000	0.000	937.700	S1130_048K_MGV_10457639_20250519_160000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_160000.flac	15.7079	117.188	0.000	46.875	257.812	632.812	210.938	632.812	0.2500	0.0536	0.1250	0.5179	0.8214	0.4693	0.9173	green	aquatic	misc	MGV	
354	Spectrogram 1	1	2431.675600000	2432.732947303	0.000	937.700	S1130_048K_MGV_10457639_20250519_160000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_160000.flac	31.6756	117.188	0.000	46.875	257.812	609.375	210.938	609.375	0.2857	0.0612	0.1429	0.5714	0.8776	0.4480	0.8533	green	aquatic	harmonic	MGV	
362	Spectrogram 1	1	2449.552000000	2450.080673651	0.000	337.000	S1130_048K_MGV_10457639_20250519_160000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_160000.flac	49.5520	117.188	0.000	46.875	210.938	281.250	164.062	281.250	0.3750	0.0833	0.2083	0.5833	0.8750	0.1920	0.4053	green	aquatic	chain	MGV	3
375	Spectrogram 1	1	3010.698900000	3011.066283385	0.000	879.100	S1130_048K_MGV_10457639_20250519_161500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_161500.flac	10.6989	164.062	23.438	70.312	257.812	632.812	187.500	609.375	0.6875	0.0625	0.3750	0.8750	0.9375	0.1707	0.2987	green	aquatic	chain	MGV	3
399	Spectrogram 1	1	3029.767000000	3029.991014259	0.000	659.300	S1130_048K_MGV_10457639_20250519_161500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_161500.flac	29.7670	140.625	0.000	70.312	257.812	585.938	187.500	585.938	0.5556	0.0000	0.2222	0.7778	1.0000	0.1067	0.1920	green	aquatic	chain	MGV	2
400	Spectrogram 1	1	3020.940900000	3021.433731370	0.000	146.500	S1130_048K_MGV_10457639_20250519_161500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_161500.flac	20.9409	70.312	0.000	46.875	93.750	140.625	46.875	140.625	0.5909	0.0455	0.2727	0.7273	0.9091	0.2133	0.4053	green	aquatic	harmonic	MGV	
450	Spectrogram 1	1	3609.283100000	3609.623601674	14.700	175.800	S1130_048K_MGV_10457639_20250519_163000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_163000.flac	9.2831	70.312	23.438	46.875	93.750	164.062	46.875	140.625	0.4667	0.0000	0.2000	0.6667	0.9333	0.1493	0.2987	green	aquatic	chain	MGV	2
459	Spectrogram 1	1	3615.501800000	3616.272409052	0.000	996.300	S1130_048K_MGV_10457639_20250519_163000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_163000.flac	15.5018	93.750	23.438	70.312	234.375	656.250	164.062	632.812	0.6000	0.0286	0.2571	0.8286	0.9714	0.4267	0.7040	green	aquatic	chain	MGV	5
512	Spectrogram 1	1	3642.822600000	3643.449839926	0.000	805.900	S1130_048K_MGV_10457639_20250519_163000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_163000.flac	42.8226	93.750	23.438	70.312	234.375	585.938	164.062	562.500	0.4643	0.0357	0.2143	0.7857	0.9643	0.3413	0.5547	green	aquatic	chain	MGV	5
530	Spectrogram 1	1	3653.449800000	3653.763419963	0.000	424.900	S1130_048K_MGV_10457639_20250519_163000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_163000.flac	53.4498	93.750	0.000	46.875	187.500	328.125	140.625	328.125	0.5000	0.0000	0.2143	0.7143	0.9286	0.1493	0.2773	green	aquatic	chain	MGV	2
