Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	BW 50% (Hz)	BW 90% (Hz)	Center Time Rel.	Time 5% Rel.	Time 25% Rel.	Time 75% Rel.	Time 95% Rel.	Dur 50% (s)	Dur 90% (s)	colour	source	type	site
44	Spectrogram 1	1	1646.706013239	1647.685912396	42.6	2920.8	S1130_048K_LVR_10458035_20250519_151500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_151500.flac	48.706	1031.25	46.875	210.938	2578.125	2765.625	2367.188	2718.75	0.3556	0.0222	0.2889	0.6889	0.9556	0.384	0.896	green	NA	NA	LVR
45	Spectrogram 1	1	1649.620585091	1649.708524759	42.6	1513.7	S1130_048K_LVR_10458035_20250519_151500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_151500.flac	51.6206	140.625	46.875	70.312	421.875	1242.188	351.562	1195.312	0.25	0	0.25	0.75	1	0.0427	0.0853	green	NA	NA	LVR
46	Spectrogram 1	1	1649.68339914	1649.809027237	21.3	1748.2	S1130_048K_LVR_10458035_20250519_151500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_151500.flac	51.6834	140.625	23.438	70.312	445.312	1429.688	375	1406.25	0.4	0	0.2	0.8	1	0.064	0.1067	green	NA	NA	LVR
47	Spectrogram 1	1	1649.608022282	1649.834152856	42.6	1748.2	S1130_048K_LVR_10458035_20250519_151500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_151500.flac	51.608	210.938	46.875	93.75	632.812	1476.562	539.062	1429.688	0.4444	0	0.1111	0.6667	1	0.1067	0.192	green	NA	NA	LVR
48	Spectrogram 1	1	2229.771345752	2229.909536659	533	2132	S1130_048K_LVR_10458035_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_153000.flac	31.7714	1171.875	562.5	796.875	1593.75	1968.75	796.875	1406.25	0.5	0	0.1667	0.8333	1	0.0853	0.128	green	NA	NA	LVR
54	Spectrogram 1	1	2238.653252216	2238.942196839	0	3794.9	S1130_048K_LVR_10458035_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_153000.flac	40.6532	257.812	0	46.875	1359.375	3257.812	1312.5	3257.812	0.4615	0	0.2308	0.6923	1	0.128	0.2773	green	NA	NA	LVR
55	Spectrogram 1	1	2243.3140546179998	2243.565310812	0	4029.4	S1130_048K_LVR_10458035_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_153000.flac	45.3141	257.812	0	46.875	1429.688	3445.312	1382.812	3445.312	0.4545	0	0.1818	0.7273	1	0.128	0.2347	green	NA	NA	LVR
56	Spectrogram 1	1	2241.957271169	2242.020085218	511.7	3304.6	S1130_048K_LVR_10458035_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_153000.flac	43.9573	1500	562.5	843.75	2226.562	3117.188	1382.812	2554.688	0.5	0	0	1	1	0.0427	0.0427	green	NA	NA	LVR
57	Spectrogram 1	1	2242.974858756	2243.087924043	426.4	3560.4	S1130_048K_LVR_10458035_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_153000.flac	44.9749	1523.438	492.188	843.75	2390.625	3304.688	1546.875	2812.5	0.5	0	0.25	0.75	1	0.0427	0.0853	green	NA	NA	LVR
58	Spectrogram 1	1	2243.20098933	2243.3140546179998	490.4	2835.5	S1130_048K_LVR_10458035_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_153000.flac	45.201	1382.812	539.062	773.438	1945.312	2625	1171.875	2085.938	0.5	0	0.25	0.75	1	0.0427	0.0853	green	NA	NA	LVR
